Passage : Commentaire;Lieu de surveillance : Identifiant;Lieu de surveillance : Mnémonique;Lieu de surveillance : Libellé;Passage : Date;Coordonnées passage : Coordonnées minx;Coordonnées passage : Coordonnées maxx;Coordonnées passage : Coordonnées miny;Coordonnées passage : Coordonnées maxy;Coordonnées passage : Coordonnées redéfinies;Prélèvement : Commentaire;Libellé de l'engin de prélévement;Prélèvement : Niveau;Prélèvement : Immersion;Prélèvement : Immersion Min;Prélèvement : Immersion Max;Prélèvement : Symbole de l'unité d'immersion;Prélèvement : Unité d'immersion;Echantillon : Commentaire;Echantillon : Identifiant interne;Echantillon : Libellé du support;Echantillon : Libellé du taxon support;Résultat : Code paramètre;Résultat : Libellé paramètre;Résultat : Libellé support;Résultat : Libellé fraction;Résultat : Libellé méthode;Résultat : Libellé précision;Résultat : Valeur de la mesure;Résultat : Valeur qualitative;Résultat : Symbole unité de mesure associé au quadruplet;Résultat : Libellé unité de mesure associé au quadruplet;Résultat : Commentaires;Résultat : Service analyste : Libellé;Passage : Date de validation;Passage : Date de qualification;Passage : Niveau de qualité;Passage : Commentaire de qualification;Prélèvement : Date de validation;Prélèvement : Date de qualification;Prélèvement : Niveau de qualité;Prélèvement : Commentaire de qualification;Echantillon : Date de validation;Echantillon : Date de qualification;Echantillon : Niveau de qualité;Echantillon : Commentaire de qualification;Résultat : Date de validation;Résultat : Date de qualification;Résultat : Niveau de qualité;Résultat : Commentaire de qualification;Prélèvement : Service préleveur : Code;Prélèvement : Service préleveur : Libellé
;2003019;002-P-024;Parc 10 n;15/06/2006;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0;;;m;Mètre;;5339353;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;03/05/2007;;Non qualifié;;05/01/2016;;Non qualifié;;23/03/2017;;Non qualifié;;23/03/2017;;Non qualifié;;SPEL62;Service Police de l'Eau de Boulogne - Pas-de-Calais
;2003019;002-P-024;Parc 10 n;19/06/2006;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0;;;m;Mètre;;5339354;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;03/05/2007;;Non qualifié;;05/01/2016;;Non qualifié;;23/03/2017;;Non qualifié;;23/03/2017;;Non qualifié;;SPEL62;Service Police de l'Eau de Boulogne - Pas-de-Calais
;2003019;002-P-024;Parc 10 n;26/06/2006;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0;;;m;Mètre;;5339355;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;03/05/2007;;Non qualifié;;05/01/2016;;Non qualifié;;23/03/2017;;Non qualifié;;23/03/2017;;Non qualifié;;SPEL62;Service Police de l'Eau de Boulogne - Pas-de-Calais
;2003019;002-P-024;Parc 10 n;03/07/2006;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0;;;m;Mètre;;5339356;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;03/05/2007;;Non qualifié;;05/01/2016;;Non qualifié;;23/03/2017;;Non qualifié;;23/03/2017;;Non qualifié;;SPEL62;Service Police de l'Eau de Boulogne - Pas-de-Calais
;2003019;002-P-024;Parc 10 n;10/07/2006;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0;;;m;Mètre;;5339357;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;03/05/2007;;Non qualifié;;05/01/2016;;Non qualifié;;23/03/2017;;Non qualifié;;23/03/2017;;Non qualifié;;SPEL62;Service Police de l'Eau de Boulogne - Pas-de-Calais
;2003019;002-P-024;Parc 10 n;17/07/2006;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0;;;m;Mètre;;5339358;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;03/05/2007;;Non qualifié;;05/01/2016;;Non qualifié;;23/03/2017;;Non qualifié;;23/03/2017;;Non qualifié;;SPEL62;Service Police de l'Eau de Boulogne - Pas-de-Calais
;2003019;002-P-024;Parc 10 n;21/05/2007;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0;;;m;Mètre;;5360429;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;19/08/2008;;Non qualifié;;05/01/2016;;Non qualifié;;23/03/2017;;Non qualifié;;23/03/2017;;Non qualifié;;SPEL62;Service Police de l'Eau de Boulogne - Pas-de-Calais
;2003019;002-P-024;Parc 10 n;04/06/2007;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0;;;m;Mètre;;5360433;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;19/08/2008;;Non qualifié;;05/01/2016;;Non qualifié;;23/03/2017;;Non qualifié;;23/03/2017;;Non qualifié;;SPEL62;Service Police de l'Eau de Boulogne - Pas-de-Calais
;2003019;002-P-024;Parc 10 n;04/06/2008;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0;;;m;Mètre;;60034462;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;;7.9;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;;;Non qualifié;;;;Non qualifié;;;;Non qualifié;;;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;2003019;002-P-024;Parc 10 n;11/05/2009;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0;;;m;Mètre;;60034465;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;15/03/2010;;Non qualifié;;05/01/2016;;Non qualifié;;15/03/2010;;Non qualifié;;15/03/2010;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
