code_region;nom_de_la_region;code_departement;code_arrondissement;code_canton;code_commune;nom_de_la_commune;population_municipale;population_comptee_a_part;population_totale;annee_recensement;annee_utilisation;code_insee;superficie;statut;code_insee_commune;nom_com;nom_dep;nom_reg;epci;code_epci;libepci
31;Nord-Pas-de-Calais;59;5;33;146;Chéreng;2989;48;3037;2012;2015;59146;4.2;Commune;59146;Chéreng;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;07;550;Salomé;2972;12;2984;2012;2015;59550;5.33;Commune;59550;Salomé;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;33;602;Tressin;1411;51;1462;2012;2015;59602;1.91;Commune;59602;Tressin;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;99;650;Wattrelos;41633;278;41911;2012;2015;59650;13.57;Commune;59650;Wattrelos;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
32;Hauts-de-France;59;5;28;201;Erquinghem-le-Sec;590;9;599;2016;2019;59201;1.79;Commune;59201;;;;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;02;257;Fromelles;917;11;928;2016;2019;59257;8.69;Commune;59257;Fromelles;NORD;HAUTS-DE-FRANCE;245900816;245900816;CC des Weppes
32;Hauts-de-France;59;5;97;350;Lille;232440;4342;236782;2016;2019;59350;34.98;Commune;59350;Lille;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;18;560;Seclin;12463;99;12562;2016;2019;59560;17.44;Commune;59560;Seclin;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;02;653;Wavrin;7628;75;7703;2016;2019;59653;13.57;Commune;59653;;;;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;04;173;Deûlémont;1673;20;1693;2015;2018;59173;9.96;Commune;59173;Deûlémont;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;04;202;Erquinghem-Lys;5005;39;5044;2015;2018;59202;9.2;Commune;59202;Erquinghem-Lys;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;02;388;Marquillies;1987;37;2024;2015;2018;59388;6.82;Commune;59388;Marquillies;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;02;550;Salomé;2970;25;2995;2015;2018;59550;5.33;Commune;59550;Salomé;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;36;256;Fretin;3377;25;3402;2015;2018;59256;13.33;Commune;59256;Fretin;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
